,index,mc_type,sep,noise,k,count
0,hubers,min_max,0.5,0.0,2,0
1,hubers,min_max,0.5,0.0,4,0
2,hubers,min_max,0.5,0.0,5,0
3,hubers,min_max,0.5,0.1,2,0
4,hubers,min_max,0.5,0.1,4,0
5,hubers,min_max,0.5,0.1,5,0
6,hubers,min_max,0.5,0.5,2,0
7,hubers,min_max,0.5,0.5,4,0
8,hubers,min_max,0.5,0.5,5,0
9,hubers,min_max,1.0,0.0,2,0
10,hubers,min_max,1.0,0.0,4,0
11,hubers,min_max,1.0,0.0,5,0
12,hubers,min_max,1.0,0.1,2,0
13,hubers,min_max,1.0,0.1,4,0
14,hubers,min_max,1.0,0.1,5,0
15,hubers,min_max,1.0,0.5,2,0
16,hubers,min_max,1.0,0.5,4,0
17,hubers,min_max,1.0,0.5,5,0
18,hubers,min_max,3.0,0.0,2,0
19,hubers,min_max,3.0,0.0,4,0
20,hubers,min_max,3.0,0.0,5,0
21,hubers,min_max,3.0,0.1,2,0
22,hubers,min_max,3.0,0.1,4,0
23,hubers,min_max,3.0,0.1,5,0
24,hubers,min_max,3.0,0.5,2,1
25,hubers,min_max,3.0,0.5,4,0
26,hubers,min_max,3.0,0.5,5,0
27,hubers,pca_trans,0.5,0.0,2,0
28,hubers,pca_trans,0.5,0.0,4,0
29,hubers,pca_trans,0.5,0.0,5,0
30,hubers,pca_trans,0.5,0.1,2,0
31,hubers,pca_trans,0.5,0.1,4,0
32,hubers,pca_trans,0.5,0.1,5,0
33,hubers,pca_trans,0.5,0.5,2,0
34,hubers,pca_trans,0.5,0.5,4,0
35,hubers,pca_trans,0.5,0.5,5,0
36,hubers,pca_trans,1.0,0.0,2,0
37,hubers,pca_trans,1.0,0.0,4,0
38,hubers,pca_trans,1.0,0.0,5,0
39,hubers,pca_trans,1.0,0.1,2,0
40,hubers,pca_trans,1.0,0.1,4,0
41,hubers,pca_trans,1.0,0.1,5,0
42,hubers,pca_trans,1.0,0.5,2,0
43,hubers,pca_trans,1.0,0.5,4,0
44,hubers,pca_trans,1.0,0.5,5,0
45,hubers,pca_trans,3.0,0.0,2,2
46,hubers,pca_trans,3.0,0.0,4,0
47,hubers,pca_trans,3.0,0.0,5,1
48,hubers,pca_trans,3.0,0.1,2,1
49,hubers,pca_trans,3.0,0.1,4,1
50,hubers,pca_trans,3.0,0.1,5,1
51,hubers,pca_trans,3.0,0.5,2,2
52,hubers,pca_trans,3.0,0.5,4,0
53,hubers,pca_trans,3.0,0.5,5,0
54,hubers,random_order,0.5,0.0,2,1
55,hubers,random_order,0.5,0.0,4,0
56,hubers,random_order,0.5,0.0,5,0
57,hubers,random_order,0.5,0.1,2,2
58,hubers,random_order,0.5,0.1,4,0
59,hubers,random_order,0.5,0.1,5,0
60,hubers,random_order,0.5,0.5,2,0
61,hubers,random_order,0.5,0.5,4,0
62,hubers,random_order,0.5,0.5,5,0
63,hubers,random_order,1.0,0.0,2,0
64,hubers,random_order,1.0,0.0,4,0
65,hubers,random_order,1.0,0.0,5,0
66,hubers,random_order,1.0,0.1,2,1
67,hubers,random_order,1.0,0.1,4,0
68,hubers,random_order,1.0,0.1,5,0
69,hubers,random_order,1.0,0.5,2,1
70,hubers,random_order,1.0,0.5,4,0
71,hubers,random_order,1.0,0.5,5,0
72,hubers,random_order,3.0,0.0,2,0
73,hubers,random_order,3.0,0.0,4,0
74,hubers,random_order,3.0,0.0,5,0
75,hubers,random_order,3.0,0.1,2,0
76,hubers,random_order,3.0,0.1,4,0
77,hubers,random_order,3.0,0.1,5,0
78,hubers,random_order,3.0,0.5,2,0
79,hubers,random_order,3.0,0.5,4,0
80,hubers,random_order,3.0,0.5,5,0
81,norm,min_max,0.5,0.0,2,0
82,norm,min_max,0.5,0.0,4,0
83,norm,min_max,0.5,0.0,5,0
84,norm,min_max,0.5,0.1,2,0
85,norm,min_max,0.5,0.1,4,0
86,norm,min_max,0.5,0.1,5,0
87,norm,min_max,0.5,0.5,2,0
88,norm,min_max,0.5,0.5,4,0
89,norm,min_max,0.5,0.5,5,0
90,norm,min_max,1.0,0.0,2,0
91,norm,min_max,1.0,0.0,4,0
92,norm,min_max,1.0,0.0,5,0
93,norm,min_max,1.0,0.1,2,0
94,norm,min_max,1.0,0.1,4,0
95,norm,min_max,1.0,0.1,5,0
96,norm,min_max,1.0,0.5,2,0
97,norm,min_max,1.0,0.5,4,0
98,norm,min_max,1.0,0.5,5,0
99,norm,min_max,3.0,0.0,2,0
100,norm,min_max,3.0,0.0,4,0
101,norm,min_max,3.0,0.0,5,0
102,norm,min_max,3.0,0.1,2,1
103,norm,min_max,3.0,0.1,4,0
104,norm,min_max,3.0,0.1,5,0
