,index,mc_type,sep,noise,sums
0,hubers,min_max,0.5,0.0,0
1,hubers,min_max,0.5,0.1,0
2,hubers,min_max,0.5,0.5,0
3,hubers,min_max,1.0,0.0,0
4,hubers,min_max,1.0,0.1,0
5,hubers,min_max,1.0,0.5,0
6,hubers,min_max,3.0,0.0,0
7,hubers,min_max,3.0,0.1,0
8,hubers,min_max,3.0,0.5,1
9,hubers,pca_trans,0.5,0.0,0
10,hubers,pca_trans,0.5,0.1,0
11,hubers,pca_trans,0.5,0.5,0
12,hubers,pca_trans,1.0,0.0,0
13,hubers,pca_trans,1.0,0.1,0
14,hubers,pca_trans,1.0,0.5,0
15,hubers,pca_trans,3.0,0.0,7
16,hubers,pca_trans,3.0,0.1,3
17,hubers,pca_trans,3.0,0.5,3
18,hubers,random_order,0.5,0.0,2
19,hubers,random_order,0.5,0.1,3
20,hubers,random_order,0.5,0.5,9
21,hubers,random_order,1.0,0.0,9
22,hubers,random_order,1.0,0.1,7
23,hubers,random_order,1.0,0.5,6
24,hubers,random_order,3.0,0.0,27
25,hubers,random_order,3.0,0.1,24
26,hubers,random_order,3.0,0.5,23
27,norm,min_max,0.5,0.0,0
28,norm,min_max,0.5,0.1,2
29,norm,min_max,0.5,0.5,0
30,norm,min_max,1.0,0.0,15
31,norm,min_max,1.0,0.1,4
32,norm,min_max,1.0,0.5,0
33,norm,min_max,3.0,0.0,25
34,norm,min_max,3.0,0.1,18
35,norm,min_max,3.0,0.5,8
36,norm,pca_trans,0.5,0.0,0
37,norm,pca_trans,0.5,0.1,0
38,norm,pca_trans,0.5,0.5,0
39,norm,pca_trans,1.0,0.0,5
40,norm,pca_trans,1.0,0.1,1
41,norm,pca_trans,1.0,0.5,0
42,norm,pca_trans,3.0,0.0,30
43,norm,pca_trans,3.0,0.1,27
44,norm,pca_trans,3.0,0.5,30
45,norm,random_order,0.5,0.0,0
46,norm,random_order,0.5,0.1,0
47,norm,random_order,0.5,0.5,0
48,norm,random_order,1.0,0.0,7
49,norm,random_order,1.0,0.1,0
50,norm,random_order,1.0,0.5,0
51,norm,random_order,3.0,0.0,24
52,norm,random_order,3.0,0.1,11
53,norm,random_order,3.0,0.5,3
54,tss,min_max,0.5,0.0,30
55,tss,min_max,0.5,0.1,30
56,tss,min_max,0.5,0.5,30
57,tss,min_max,1.0,0.0,30
58,tss,min_max,1.0,0.1,30
59,tss,min_max,1.0,0.5,30
60,tss,min_max,3.0,0.0,30
61,tss,min_max,3.0,0.1,30
62,tss,min_max,3.0,0.5,30
63,tss,pca_trans,0.5,0.0,0
64,tss,pca_trans,0.5,0.1,0
65,tss,pca_trans,0.5,0.5,0
66,tss,pca_trans,1.0,0.0,1
67,tss,pca_trans,1.0,0.1,0
68,tss,pca_trans,1.0,0.5,2
69,tss,pca_trans,3.0,0.0,29
70,tss,pca_trans,3.0,0.1,26
71,tss,pca_trans,3.0,0.5,27
72,tss,random_order,0.5,0.0,29
73,tss,random_order,0.5,0.1,30
74,tss,random_order,0.5,0.5,30
75,tss,random_order,1.0,0.0,30
76,tss,random_order,1.0,0.1,30
77,tss,random_order,1.0,0.5,30
78,tss,random_order,3.0,0.0,30
79,tss,random_order,3.0,0.1,30
80,tss,random_order,3.0,0.5,30
