,index,mc_type,sep,noise,count
0,hubers,min_max,0.5,0.0,2
1,hubers,min_max,0.5,0.1,2
2,hubers,min_max,0.5,0.5,1
3,hubers,min_max,1.0,0.0,2
4,hubers,min_max,1.0,0.1,2
5,hubers,min_max,1.0,0.5,1
6,hubers,min_max,3.0,0.0,0
7,hubers,min_max,3.0,0.1,0
8,hubers,min_max,3.0,0.5,0
9,hubers,pca_trans,0.5,0.0,2
10,hubers,pca_trans,0.5,0.1,1
11,hubers,pca_trans,0.5,0.5,1
12,hubers,pca_trans,1.0,0.0,2
13,hubers,pca_trans,1.0,0.1,1
14,hubers,pca_trans,1.0,0.5,1
15,hubers,pca_trans,3.0,0.0,0
16,hubers,pca_trans,3.0,0.1,0
17,hubers,pca_trans,3.0,0.5,0
18,hubers,random_order,0.5,0.0,2
19,hubers,random_order,0.5,0.1,2
20,hubers,random_order,0.5,0.5,0
21,hubers,random_order,1.0,0.0,2
22,hubers,random_order,1.0,0.1,0
23,hubers,random_order,1.0,0.5,2
24,hubers,random_order,3.0,0.0,0
25,hubers,random_order,3.0,0.1,0
26,hubers,random_order,3.0,0.5,0
27,norm,min_max,0.5,0.0,1
28,norm,min_max,0.5,0.1,0
29,norm,min_max,0.5,0.5,0
30,norm,min_max,1.0,0.0,3
31,norm,min_max,1.0,0.1,1
32,norm,min_max,1.0,0.5,1
33,norm,min_max,3.0,0.0,0
34,norm,min_max,3.0,0.1,0
35,norm,min_max,3.0,0.5,0
36,norm,pca_trans,0.5,0.0,2
37,norm,pca_trans,0.5,0.1,2
38,norm,pca_trans,0.5,0.5,1
39,norm,pca_trans,1.0,0.0,2
40,norm,pca_trans,1.0,0.1,1
41,norm,pca_trans,1.0,0.5,1
42,norm,pca_trans,3.0,0.0,0
43,norm,pca_trans,3.0,0.1,0
44,norm,pca_trans,3.0,0.5,0
45,norm,random_order,0.5,0.0,2
46,norm,random_order,0.5,0.1,1
47,norm,random_order,0.5,0.5,1
48,norm,random_order,1.0,0.0,3
49,norm,random_order,1.0,0.1,2
50,norm,random_order,1.0,0.5,0
51,norm,random_order,3.0,0.0,0
52,norm,random_order,3.0,0.1,0
53,norm,random_order,3.0,0.5,0
54,tss,min_max,0.5,0.0,1
55,tss,min_max,0.5,0.1,1
56,tss,min_max,0.5,0.5,0
57,tss,min_max,1.0,0.0,1
58,tss,min_max,1.0,0.1,0
59,tss,min_max,1.0,0.5,0
60,tss,min_max,3.0,0.0,0
61,tss,min_max,3.0,0.1,1
62,tss,min_max,3.0,0.5,0
63,tss,pca_trans,0.5,0.0,2
64,tss,pca_trans,0.5,0.1,0
65,tss,pca_trans,0.5,0.5,0
66,tss,pca_trans,1.0,0.0,2
67,tss,pca_trans,1.0,0.1,0
68,tss,pca_trans,1.0,0.5,0
69,tss,pca_trans,3.0,0.0,0
70,tss,pca_trans,3.0,0.1,0
71,tss,pca_trans,3.0,0.5,0
72,tss,random_order,0.5,0.0,2
73,tss,random_order,0.5,0.1,0
74,tss,random_order,0.5,0.5,1
75,tss,random_order,1.0,0.0,1
76,tss,random_order,1.0,0.1,1
77,tss,random_order,1.0,0.5,1
78,tss,random_order,3.0,0.0,0
79,tss,random_order,3.0,0.1,0
80,tss,random_order,3.0,0.5,0
