,index,mc_type,sep,noise,Cor
0,hubers,min_max,0.5,0.0,0
1,hubers,min_max,0.5,0.1,0
2,hubers,min_max,0.5,0.5,0
3,hubers,min_max,1.0,0.0,0
4,hubers,min_max,1.0,0.1,0
5,hubers,min_max,1.0,0.5,0
6,hubers,min_max,3.0,0.0,0
7,hubers,min_max,3.0,0.1,0
8,hubers,min_max,3.0,0.5,1
9,hubers,pca_trans,0.5,0.0,0
10,hubers,pca_trans,0.5,0.1,0
11,hubers,pca_trans,0.5,0.5,0
12,hubers,pca_trans,1.0,0.0,0
13,hubers,pca_trans,1.0,0.1,0
14,hubers,pca_trans,1.0,0.5,0
15,hubers,pca_trans,3.0,0.0,3
16,hubers,pca_trans,3.0,0.1,3
17,hubers,pca_trans,3.0,0.5,2
18,hubers,random_order,0.5,0.0,1
19,hubers,random_order,0.5,0.1,2
20,hubers,random_order,0.5,0.5,2
21,hubers,random_order,1.0,0.0,1
22,hubers,random_order,1.0,0.1,1
23,hubers,random_order,1.0,0.5,1
24,hubers,random_order,3.0,0.0,2
25,hubers,random_order,3.0,0.1,2
26,hubers,random_order,3.0,0.5,2
27,norm,min_max,0.5,0.0,0
28,norm,min_max,0.5,0.1,0
29,norm,min_max,0.5,0.5,0
30,norm,min_max,1.0,0.0,1
31,norm,min_max,1.0,0.1,0
32,norm,min_max,1.0,0.5,0
33,norm,min_max,3.0,0.0,2
34,norm,min_max,3.0,0.1,1
35,norm,min_max,3.0,0.5,1
36,norm,pca_trans,0.5,0.0,0
37,norm,pca_trans,0.5,0.1,0
38,norm,pca_trans,0.5,0.5,0
39,norm,pca_trans,1.0,0.0,0
40,norm,pca_trans,1.0,0.1,0
41,norm,pca_trans,1.0,0.5,0
42,norm,pca_trans,3.0,0.0,2
43,norm,pca_trans,3.0,0.1,2
44,norm,pca_trans,3.0,0.5,2
45,norm,random_order,0.5,0.0,0
46,norm,random_order,0.5,0.1,0
47,norm,random_order,0.5,0.5,0
48,norm,random_order,1.0,0.0,0
49,norm,random_order,1.0,0.1,0
50,norm,random_order,1.0,0.5,0
51,norm,random_order,3.0,0.0,2
52,norm,random_order,3.0,0.1,0
53,norm,random_order,3.0,0.5,0
54,tss,min_max,0.5,0.0,0
55,tss,min_max,0.5,0.1,0
56,tss,min_max,0.5,0.5,0
57,tss,min_max,1.0,0.0,0
58,tss,min_max,1.0,0.1,0
59,tss,min_max,1.0,0.5,0
60,tss,min_max,3.0,0.0,0
61,tss,min_max,3.0,0.1,0
62,tss,min_max,3.0,0.5,0
63,tss,pca_trans,0.5,0.0,0
64,tss,pca_trans,0.5,0.1,0
65,tss,pca_trans,0.5,0.5,0
66,tss,pca_trans,1.0,0.0,0
67,tss,pca_trans,1.0,0.1,0
68,tss,pca_trans,1.0,0.5,0
69,tss,pca_trans,3.0,0.0,0
70,tss,pca_trans,3.0,0.1,0
71,tss,pca_trans,3.0,0.5,0
72,tss,random_order,0.5,0.0,0
73,tss,random_order,0.5,0.1,0
74,tss,random_order,0.5,0.5,0
75,tss,random_order,1.0,0.0,0
76,tss,random_order,1.0,0.1,0
77,tss,random_order,1.0,0.5,0
78,tss,random_order,3.0,0.0,0
79,tss,random_order,3.0,0.1,0
80,tss,random_order,3.0,0.5,0
