,mc_type,index,noise,sep,acc,Total
0,min_max,hubers,0.0,0.5,tn,24
1,min_max,hubers,0.0,0.5,fn,6
2,min_max,hubers,0.0,1.0,tn,24
3,min_max,hubers,0.0,1.0,fn,6
4,min_max,hubers,0.0,3.0,tn,24
5,min_max,hubers,0.0,3.0,fn,6
6,min_max,hubers,0.1,0.5,tn,24
7,min_max,hubers,0.1,0.5,fn,6
8,min_max,hubers,0.1,1.0,tn,24
9,min_max,hubers,0.1,1.0,fn,6
10,min_max,hubers,0.1,3.0,tn,24
11,min_max,hubers,0.1,3.0,fn,6
12,min_max,hubers,0.5,0.5,tn,24
13,min_max,hubers,0.5,0.5,fn,6
14,min_max,hubers,0.5,1.0,tn,24
15,min_max,hubers,0.5,1.0,fn,6
16,min_max,hubers,0.5,3.0,tn,24
17,min_max,hubers,0.5,3.0,fn,5
18,min_max,hubers,0.5,3.0,tp,1
19,min_max,norm,0.0,0.5,tn,24
20,min_max,norm,0.0,0.5,fn,6
21,min_max,norm,0.0,1.0,tn,13
22,min_max,norm,0.0,1.0,fp,11
23,min_max,norm,0.0,1.0,tp,4
24,min_max,norm,0.0,1.0,fn,2
25,min_max,norm,0.0,3.0,fp,19
26,min_max,norm,0.0,3.0,tp,6
27,min_max,norm,0.0,3.0,tn,5
28,min_max,norm,0.1,0.5,tn,22
29,min_max,norm,0.1,0.5,fn,6
30,min_max,norm,0.1,0.5,fp,2
31,min_max,norm,0.1,1.0,tn,20
32,min_max,norm,0.1,1.0,fn,6
33,min_max,norm,0.1,1.0,fp,4
34,min_max,norm,0.1,3.0,fp,13
35,min_max,norm,0.1,3.0,tn,11
36,min_max,norm,0.1,3.0,tp,5
37,min_max,norm,0.1,3.0,fn,1
38,min_max,norm,0.5,0.5,tn,24
39,min_max,norm,0.5,0.5,fn,6
40,min_max,norm,0.5,1.0,tn,24
41,min_max,norm,0.5,1.0,fn,6
42,min_max,norm,0.5,3.0,tn,19
43,min_max,norm,0.5,3.0,fp,5
44,min_max,norm,0.5,3.0,fn,3
45,min_max,norm,0.5,3.0,tp,3
46,min_max,tss,0.0,0.5,tn,24
47,min_max,tss,0.0,0.5,fn,6
48,min_max,tss,0.0,1.0,tn,24
49,min_max,tss,0.0,1.0,fn,6
50,min_max,tss,0.0,3.0,tn,24
51,min_max,tss,0.0,3.0,fn,6
52,min_max,tss,0.1,0.5,tn,24
53,min_max,tss,0.1,0.5,fn,6
54,min_max,tss,0.1,1.0,tn,24
55,min_max,tss,0.1,1.0,fn,6
56,min_max,tss,0.1,3.0,tn,24
57,min_max,tss,0.1,3.0,fn,6
58,min_max,tss,0.5,0.5,tn,24
59,min_max,tss,0.5,0.5,fn,6
60,min_max,tss,0.5,1.0,tn,24
61,min_max,tss,0.5,1.0,fn,6
62,min_max,tss,0.5,3.0,tn,24
63,min_max,tss,0.5,3.0,fn,6
64,pca_trans,hubers,0.0,0.5,tn,24
65,pca_trans,hubers,0.0,0.5,fn,6
66,pca_trans,hubers,0.0,1.0,tn,24
67,pca_trans,hubers,0.0,1.0,fn,6
68,pca_trans,hubers,0.0,3.0,tn,22
69,pca_trans,hubers,0.0,3.0,tp,5
70,pca_trans,hubers,0.0,3.0,fp,2
71,pca_trans,hubers,0.0,3.0,fn,1
72,pca_trans,hubers,0.1,0.5,tn,24
73,pca_trans,hubers,0.1,0.5,fn,6
74,pca_trans,hubers,0.1,1.0,tn,24
75,pca_trans,hubers,0.1,1.0,fn,6
76,pca_trans,hubers,0.1,3.0,tn,24
77,pca_trans,hubers,0.1,3.0,fn,3
78,pca_trans,hubers,0.1,3.0,tp,3
79,pca_trans,hubers,0.5,0.5,tn,24
80,pca_trans,hubers,0.5,0.5,fn,6
81,pca_trans,hubers,0.5,1.0,tn,24
82,pca_trans,hubers,0.5,1.0,fn,6
83,pca_trans,hubers,0.5,3.0,tn,23
84,pca_trans,hubers,0.5,3.0,fn,4
