,index,mc_type,k,feat,noise,sep,Sums,acc,Total,only,acru
0,hubers,min_max,2,10,0.0,0.5,0,,,0,0.58
1,norm,min_max,2,10,0.0,0.5,0,,,0,0.58
2,tss,min_max,2,10,0.0,0.5,0,,,0,0.58
3,hubers,random_order,2,10,0.0,0.5,1,tp,1.0,1,0.58
4,norm,random_order,2,10,0.0,0.5,0,,,0,0.58
5,tss,random_order,2,10,0.0,0.5,0,,,0,0.58
6,hubers,pca_trans,2,10,0.0,0.5,0,,,0,0.58
7,norm,pca_trans,2,10,0.0,0.5,0,,,0,0.58
8,tss,pca_trans,2,10,0.0,0.5,0,,,0,0.58
9,hubers,min_max,2,10,0.0,1.0,0,,,0,0.94
10,norm,min_max,2,10,0.0,1.0,5,tp,1.0,0,0.94
11,tss,min_max,2,10,0.0,1.0,0,,,0,0.94
12,hubers,random_order,2,10,0.0,1.0,3,tp,1.0,0,0.94
13,norm,random_order,2,10,0.0,1.0,5,tp,1.0,0,0.94
14,tss,random_order,2,10,0.0,1.0,0,,,0,0.94
15,hubers,pca_trans,2,10,0.0,1.0,0,,,0,0.94
16,norm,pca_trans,2,10,0.0,1.0,4,,,0,0.94
17,tss,pca_trans,2,10,0.0,1.0,0,,,0,0.94
18,hubers,min_max,2,10,0.0,3.0,0,,,0,0.99
19,norm,min_max,2,10,0.0,3.0,2,tp,1.0,0,0.99
20,tss,min_max,2,10,0.0,3.0,0,,,0,0.99
21,hubers,random_order,2,10,0.0,3.0,3,tp,1.0,0,0.99
22,norm,random_order,2,10,0.0,3.0,2,tp,1.0,0,0.99
23,tss,random_order,2,10,0.0,3.0,0,,,0,0.99
24,hubers,pca_trans,2,10,0.0,3.0,1,tp,1.0,1,0.99
25,norm,pca_trans,2,10,0.0,3.0,5,tp,1.0,0,0.99
26,tss,pca_trans,2,10,0.0,3.0,0,,,0,0.99
27,hubers,min_max,4,10,0.0,0.5,0,,,0,0.37
28,norm,min_max,4,10,0.0,0.5,0,,,0,0.37
29,tss,min_max,4,10,0.0,0.5,0,,,0,0.37
30,hubers,random_order,4,10,0.0,0.5,0,,,0,0.37
31,norm,random_order,4,10,0.0,0.5,0,,,0,0.37
32,tss,random_order,4,10,0.0,0.5,0,,,0,0.37
33,hubers,pca_trans,4,10,0.0,0.5,0,,,0,0.37
34,norm,pca_trans,4,10,0.0,0.5,0,,,0,0.37
35,tss,pca_trans,4,10,0.0,0.5,0,,,0,0.37
36,hubers,min_max,4,10,0.0,1.0,0,,,0,0.46
37,norm,min_max,4,10,0.0,1.0,5,tp,1.0,0,0.46
38,tss,min_max,4,10,0.0,1.0,0,,,0,0.46
39,hubers,random_order,4,10,0.0,1.0,1,,,0,0.46
40,norm,random_order,4,10,0.0,1.0,2,,,0,0.46
41,tss,random_order,4,10,0.0,1.0,0,,,0,0.46
42,hubers,pca_trans,4,10,0.0,1.0,0,,,0,0.46
43,norm,pca_trans,4,10,0.0,1.0,1,,,0,0.46
44,tss,pca_trans,4,10,0.0,1.0,0,,,0,0.46
45,hubers,min_max,4,10,0.0,3.0,0,,,0,1.0
46,norm,min_max,4,10,0.0,3.0,5,tp,1.0,0,1.0
47,tss,min_max,4,10,0.0,3.0,0,,,0,1.0
48,hubers,random_order,4,10,0.0,3.0,5,tp,1.0,0,1.0
49,norm,random_order,4,10,0.0,3.0,5,tp,1.0,0,1.0
50,tss,random_order,4,10,0.0,3.0,0,,,0,1.0
51,hubers,pca_trans,4,10,0.0,3.0,2,tp,1.0,0,1.0
52,norm,pca_trans,4,10,0.0,3.0,5,tp,1.0,0,1.0
53,tss,pca_trans,4,10,0.0,3.0,0,,,0,1.0
54,hubers,min_max,5,10,0.0,0.5,0,,,0,0.29
55,norm,min_max,5,10,0.0,0.5,0,,,0,0.29
56,tss,min_max,5,10,0.0,0.5,0,,,0,0.29
57,hubers,random_order,5,10,0.0,0.5,0,,,0,0.29
58,norm,random_order,5,10,0.0,0.5,0,,,0,0.29
59,tss,random_order,5,10,0.0,0.5,0,,,0,0.29
60,hubers,pca_trans,5,10,0.0,0.5,0,,,0,0.29
61,norm,pca_trans,5,10,0.0,0.5,0,,,0,0.29
62,tss,pca_trans,5,10,0.0,0.5,0,,,0,0.29
63,hubers,min_max,5,10,0.0,1.0,0,,,0,0.56
64,norm,min_max,5,10,0.0,1.0,2,tp,1.0,0,0.56
65,tss,min_max,5,10,0.0,1.0,0,,,0,0.56
66,hubers,random_order,5,10,0.0,1.0,2,,,0,0.56
67,norm,random_order,5,10,0.0,1.0,0,,,0,0.56
68,tss,random_order,5,10,0.0,1.0,0,,,0,0.56
69,hubers,pca_trans,5,10,0.0,1.0,0,,,0,0.56
70,norm,pca_trans,5,10,0.0,1.0,0,,,0,0.56
71,tss,pca_trans,5,10,0.0,1.0,0,,,0,0.56
72,hubers,min_max,5,10,0.0,3.0,0,,,0,0.98
73,norm,min_max,5,10,0.0,3.0,5,tp,1.0,0,0.98
74,tss,min_max,5,10,0.0,3.0,0,,,0,0.98
75,hubers,random_order,5,10,0.0,3.0,5,tp,1.0,0,0.98
76,norm,random_order,5,10,0.0,3.0,5,tp,1.0,0,0.98
77,tss,random_order,5,10,0.0,3.0,0,,,0,0.98
78,hubers,pca_trans,5,10,0.0,3.0,0,,,0,0.98
79,norm,pca_trans,5,10,0.0,3.0,5,tp,1.0,0,0.98
80,tss,pca_trans,5,10,0.0,3.0,0,,,0,0.98
81,hubers,min_max,2,10,0.1,0.5,0,,,0,0.52
82,norm,min_max,2,10,0.1,0.5,2,,,0,0.52
83,tss,min_max,2,10,0.1,0.5,0,,,0,0.52
84,hubers,random_order,2,10,0.1,0.5,1,tp,1.0,1,0.52
85,norm,random_order,2,10,0.1,0.5,0,,,0,0.52
86,tss,random_order,2,10,0.1,0.5,0,,,0,0.52
87,hubers,pca_trans,2,10,0.1,0.5,0,,,0,0.52
88,norm,pca_trans,2,10,0.1,0.5,0,,,0,0.52
89,tss,pca_trans,2,10,0.1,0.5,0,,,0,0.52
90,hubers,min_max,2,10,0.1,1.0,0,,,0,0.68
91,norm,min_max,2,10,0.1,1.0,2,,,0,0.68
92,tss,min_max,2,10,0.1,1.0,0,,,0,0.68
93,hubers,random_order,2,10,0.1,1.0,2,tp,1.0,0,0.68
94,norm,random_order,2,10,0.1,1.0,0,,,0,0.68
95,tss,random_order,2,10,0.1,1.0,0,,,0,0.68
96,hubers,pca_trans,2,10,0.1,1.0,0,,,0,0.68
97,norm,pca_trans,2,10,0.1,1.0,0,,,0,0.68
98,tss,pca_trans,2,10,0.1,1.0,0,,,0,0.68
99,hubers,min_max,2,10,0.1,3.0,0,,,0,1.0
100,norm,min_max,2,10,0.1,3.0,0,,,0,1.0
101,tss,min_max,2,10,0.1,3.0,0,,,0,1.0
102,hubers,random_order,2,10,0.1,3.0,3,tp,1.0,0,1.0
103,norm,random_order,2,10,0.1,3.0,0,,,0,1.0
104,tss,random_order,2,10,0.1,3.0,0,,,0,1.0
105,hubers,pca_trans,2,10,0.1,3.0,1,tp,1.0,1,1.0
106,norm,pca_trans,2,10,0.1,3.0,2,tp,1.0,0,1.0
107,tss,pca_trans,2,10,0.1,3.0,0,,,0,1.0
108,hubers,min_max,4,10,0.1,0.5,0,,,0,0.39
109,norm,min_max,4,10,0.1,0.5,0,,,0,0.39
