,mc_type,index,noise,sep,Sums,Total
0,min_max,hubers,0.0,0.5,0,6
1,min_max,hubers,0.0,1.0,0,6
2,min_max,hubers,0.0,3.0,0,6
3,min_max,hubers,0.1,0.5,0,6
4,min_max,hubers,0.1,1.0,0,6
5,min_max,hubers,0.1,3.0,0,6
6,min_max,hubers,0.5,0.5,0,6
7,min_max,hubers,0.5,1.0,0,6
8,min_max,hubers,0.5,3.0,0,5
9,min_max,hubers,0.5,3.0,1,1
10,min_max,norm,0.0,0.5,0,6
11,min_max,norm,0.0,1.0,0,2
12,min_max,norm,0.0,1.0,5,2
13,min_max,norm,0.0,1.0,2,1
14,min_max,norm,0.0,1.0,3,1
15,min_max,norm,0.0,3.0,5,4
16,min_max,norm,0.0,3.0,2,1
17,min_max,norm,0.0,3.0,3,1
18,min_max,norm,0.1,0.5,0,5
19,min_max,norm,0.1,0.5,2,1
20,min_max,norm,0.1,1.0,0,4
21,min_max,norm,0.1,1.0,2,2
22,min_max,norm,0.1,3.0,5,2
23,min_max,norm,0.1,3.0,0,1
24,min_max,norm,0.1,3.0,1,1
25,min_max,norm,0.1,3.0,3,1
26,min_max,norm,0.1,3.0,4,1
27,min_max,norm,0.5,0.5,0,6
28,min_max,norm,0.5,1.0,0,6
29,min_max,norm,0.5,3.0,0,2
30,min_max,norm,0.5,3.0,1,2
31,min_max,norm,0.5,3.0,3,2
32,min_max,tss,0.0,0.5,0,6
33,min_max,tss,0.0,1.0,0,6
34,min_max,tss,0.0,3.0,0,6
35,min_max,tss,0.1,0.5,0,6
36,min_max,tss,0.1,1.0,0,6
37,min_max,tss,0.1,3.0,0,6
38,min_max,tss,0.5,0.5,0,6
39,min_max,tss,0.5,1.0,0,6
40,min_max,tss,0.5,3.0,0,6
41,pca_trans,hubers,0.0,0.5,0,6
42,pca_trans,hubers,0.0,1.0,0,6
43,pca_trans,hubers,0.0,3.0,1,3
44,pca_trans,hubers,0.0,3.0,2,2
45,pca_trans,hubers,0.0,3.0,0,1
46,pca_trans,hubers,0.1,0.5,0,6
47,pca_trans,hubers,0.1,1.0,0,6
48,pca_trans,hubers,0.1,3.0,0,3
49,pca_trans,hubers,0.1,3.0,1,3
50,pca_trans,hubers,0.5,0.5,0,6
51,pca_trans,hubers,0.5,1.0,0,6
52,pca_trans,hubers,0.5,3.0,0,3
53,pca_trans,hubers,0.5,3.0,1,3
54,pca_trans,norm,0.0,0.5,0,6
55,pca_trans,norm,0.0,1.0,0,4
56,pca_trans,norm,0.0,1.0,1,1
57,pca_trans,norm,0.0,1.0,4,1
58,pca_trans,norm,0.0,3.0,5,6
59,pca_trans,norm,0.1,0.5,0,6
60,pca_trans,norm,0.1,1.0,0,5
61,pca_trans,norm,0.1,1.0,1,1
62,pca_trans,norm,0.1,3.0,5,5
63,pca_trans,norm,0.1,3.0,2,1
64,pca_trans,norm,0.5,0.5,0,6
65,pca_trans,norm,0.5,1.0,0,6
66,pca_trans,norm,0.5,3.0,5,6
67,pca_trans,tss,0.0,0.5,0,6
68,pca_trans,tss,0.0,1.0,0,6
69,pca_trans,tss,0.0,3.0,0,6
70,pca_trans,tss,0.1,0.5,0,6
71,pca_trans,tss,0.1,1.0,0,6
72,pca_trans,tss,0.1,3.0,0,6
73,pca_trans,tss,0.5,0.5,0,6
74,pca_trans,tss,0.5,1.0,0,6
75,pca_trans,tss,0.5,3.0,0,6
76,random_order,hubers,0.0,0.5,0,4
77,random_order,hubers,0.0,0.5,1,2
78,random_order,hubers,0.0,1.0,0,2
79,random_order,hubers,0.0,1.0,3,2
80,random_order,hubers,0.0,1.0,1,1
81,random_order,hubers,0.0,1.0,2,1
82,random_order,hubers,0.0,3.0,5,4
83,random_order,hubers,0.0,3.0,3,1
84,random_order,hubers,0.0,3.0,4,1
85,random_order,hubers,0.1,0.5,0,3
86,random_order,hubers,0.1,0.5,1,3
87,random_order,hubers,0.1,1.0,0,2
88,random_order,hubers,0.1,1.0,1,2
89,random_order,hubers,0.1,1.0,2,1
90,random_order,hubers,0.1,1.0,3,1
91,random_order,hubers,0.1,3.0,3,3
92,random_order,hubers,0.1,3.0,5,3
93,random_order,hubers,0.5,0.5,2,4
94,random_order,hubers,0.5,0.5,0,1
95,random_order,hubers,0.5,0.5,1,1
96,random_order,hubers,0.5,1.0,1,4
97,random_order,hubers,0.5,1.0,0,1
98,random_order,hubers,0.5,1.0,2,1
99,random_order,hubers,0.5,3.0,5,3
100,random_order,hubers,0.5,3.0,3,2
101,random_order,hubers,0.5,3.0,2,1
102,random_order,norm,0.0,0.5,0,6
103,random_order,norm,0.0,1.0,0,4
104,random_order,norm,0.0,1.0,2,1
105,random_order,norm,0.0,1.0,5,1
106,random_order,norm,0.0,3.0,5,4
107,random_order,norm,0.0,3.0,2,2
108,random_order,norm,0.1,0.5,0,6
109,random_order,norm,0.1,1.0,0,6
110,random_order,norm,0.1,3.0,0,3
111,random_order,norm,0.1,3.0,2,1
112,random_order,norm,0.1,3.0,4,1
113,random_order,norm,0.1,3.0,5,1
114,random_order,norm,0.5,0.5,0,6
115,random_order,norm,0.5,1.0,0,6
116,random_order,norm,0.5,3.0,0,5
117,random_order,norm,0.5,3.0,3,1
118,random_order,tss,0.0,0.5,0,6
119,random_order,tss,0.0,1.0,0,6
120,random_order,tss,0.0,3.0,0,6
121,random_order,tss,0.1,0.5,0,6
122,random_order,tss,0.1,1.0,0,6
123,random_order,tss,0.1,3.0,0,6
124,random_order,tss,0.5,0.5,0,6
125,random_order,tss,0.5,1.0,0,6
126,random_order,tss,0.5,3.0,0,6
